geneid	Anp_day3_rep1	Anp_day7_rep1	Anp_day14_rep1	Anp_day3_rep2	Anp_day7_rep2	Anp_day14_rep2	Anp_day3_rep3	Anp_day7_rep3	Anp_day14_rep3	AMn_day3_rep1	AMn_day7_rep1	AMn_day14_rep1	AMn_day3_rep2	AMn_day7_rep2	AMn_day14_rep2	AMn_day3_rep3	AMn_day7_rep3	AMn_day14_rep3	AMp_day3_rep1	AMp_day7_rep1	AMp_day14_rep1	AMp_day3_rep2	AMp_day7_rep2	AMp_day14_rep2	AMp_day3_rep3	AMp_day7_rep3	AMp_day14_rep3	AMnp_day3_rep1	AMnp_day7_rep1	AMnp_day14_rep1	AMnp_day3_rep2	AMnp_day7_rep2	AMnp_day14_rep2	AMnp_day3_rep3	AMnp_day7_rep3	AMnp_day14_rep3
MDM2	921.4648732424682	869.2137804184724	927.7110920876215	922.757623350312	963.9392523262713	908.812881158904	919.141287667427	939.3445132148048	905.8194707334648	6845.812037489024	8881.164885871221	4556.461586699845	7320.814614602902	8871.31340058452	4833.544024859092	6845.284739448346	9340.132361773663	4596.391349526936	910.7530044661436	935.8474362313167	982.9603370199173	975.0553042596612	836.0706012847911	974.1915469820334	924.3755163363629	895.4433973317035	965.2352814247513	843.2588117475498	852.5820052981352	838.3509808424923	808.8688349316011	833.3320367919232	863.6862219932392	803.7707684305121	854.8652260089539	845.4139854951906
FDXR	87.90062667120455	79.32407698823653	86.52368948160273	86.90943023626039	89.10949276093721	90.65928151270279	92.9102791558951	80.89731724513415	86.58276210435085	862.7039191718346	1073.3354774208558	572.6760416893966	890.9968414159016	990.0476147575299	569.0387527784388	906.755513238308	996.3418408062214	589.4565149388085	81.44609008788353	86.12371114588692	76.9552671439719	75.21259779154612	84.87568743287376	76.92904856884122	82.142818890945	85.98606451698028	83.88282823538489	112.20970412384546	112.90795867637043	87.81911193024655	95.84251386104933	107.68355912300468	96.35269478642182	112.23998758025817	116.88973688550747	87.29673315566752
TNFRSF10B	716.762969700539	598.4882400689349	730.3705586557498	745.905597776431	587.5968242343821	720.3572368589689	784.640736790684	647.6041674082965	727.6025952981196	2335.161139194957	2125.2488857731946	1987.6677593076633	2257.804009431154	2140.33099356828	1972.8061534798169	2245.7471551068147	2140.765439097452	1920.0224541377927	545.0244114596074	505.60101215533007	557.4197653837664	528.5128842576282	467.42362497714436	537.7264296765526	524.3227635405694	490.1589084103874	555.4725728579624	609.4880371964301	594.1979669671439	797.1563414352531	586.12248813057	606.9622544341663	785.7009407815872	599.3759027773109	571.276439649426	792.475799628804
CDKN1A	759.2300662648455	458.4330381252868	781.6709479450514	715.2695350503452	411.1852557602815	709.1994626579697	721.4692165358689	499.40339375265575	804.3622988847903	8397.262539983316	6196.356529998458	4198.215363626559	8594.50238031698	6118.31752847327	4133.916018646629	8446.314583053623	6076.610119428066	4116.422038104314	521.9235137723184	398.6250080700066	585.3393263172513	499.26215778225	404.99870868146417	540.7306671386125	511.61101882807225	435.3890925336492	557.4471990141392	707.6539319034314	525.9127851826456	558.7403018935116	623.883695760722	441.5341874351294	563.930283639057	760.4276583576009	492.4104379040959	579.2167177829647
GDF15	84.11487925156145	73.10644729863823	119.14204165134097	82.99919899242383	75.30131936321683	104.4301764642809	80.72380694187247	68.97652397378873	119.86790976703874	1377.301279811308	1693.200963240404	936.3071964680885	1393.2240374124187	1497.012930336577	937.8262156320536	1436.8197879040795	1639.3461450248196	871.7150893762516	75.83590977288927	76.09236641232911	42.52969497699405	70.52158113483677	75.58728595887426	50.077227355712715	77.54975105315226	82.70813797402359	54.45311754292924	128.2634713201464	68.52859920946237	93.78782484877387	133.99008061121893	62.737405025313066	83.49295827329766	155.38990362896524	64.1553628683872	92.89764025346095
IGFBP3	2552.5140272550934	3525.19588718128	5099.862171396893	2530.224833438009	3479.176297427437	4958.980622643646	2630.7208844524243	3269.998237260973	5002.913015322495	1049.270511681978	825.7756727176175	2052.117334896373	1045.3233563377769	809.4310941272425	2030.1897878829993	1035.7664373347639	766.346006807005	2017.2513293241113	1352.376792522622	1140.8898233190878	1213.773590534422	1286.4710491032147	1127.2382610996838	1269.9331046775405	1362.9923307172535	1114.0603625424048	1261.3751157769448	1744.134427519511	1636.8584436388155	3270.577481462378	1760.6039801317775	1750.2190567119944	3175.532306715427	1832.2258938964308	1650.3523898682322	3259.938789541368
PINCR	4.51617808424797	4.334086581962833	4.00105576563688	4.541832900509055	4.497552964013048	3.0822801404910916	4.200323706891	4.257666960131205	3.551579216942165	42.44882580671525	98.62469035178728	57.09554421647242	41.44396950635522	93.79857482319683	50.36930886647053	37.77492046496267	118.45066755438413	57.19802110808944	4.420029912775019	4.184662996005955	3.855847830300787	4.870554608158359	5.308600825088556	3.74445893220195	4.203206886374185	4.347846870629463	3.9854841886201378	3.941705570536132	3.9738551366824737	4.226717556977099	4.198212885702029	4.09461145423165	4.2093439384161835	4.718643929917754	4.246650224612887	4.359021809399962
ZMAT3	565.2483132331097	636.8902775716255	756.7814938865713	566.2389034775216	628.7188194023921	705.6313357975539	547.8763491054762	669.2300344635023	706.4351588724791	2157.861376762675	2265.611473839584	1911.1772437093582	2336.7914711894673	2333.3925175386516	2137.121582363246	2261.030762956614	2471.406602380431	2020.4767734968189	571.9661345224215	644.6506632801941	773.9042313716919	589.9463517214094	673.9429859499172	768.9645950906316	550.2198445599037	670.8389031886998	784.9068590412184	637.6179972329454	692.9144372246044	692.7382817901695	648.4177773847603	586.2912592712208	692.33796211359	643.59213455511	658.6597723515755	700.7079002100661
DDB2	117.52017069767437	88.31682330463474	122.66022832231086	107.27304660060918	77.07682657532699	113.95833215732405	115.13625584038314	94.70620209353045	114.7483650117894	527.0102196074755	523.168263892743	413.77227702121905	585.7306410509315	499.45794183510833	423.43168055598045	586.710791275459	500.95885986013025	463.09110844050645	90.95711186702079	90.023712782969	100.0855845799013	89.92784431431622	99.75170773051619	93.93722958266116	88.55037504269137	102.84566270235149	101.53215569272282	97.52403959484158	87.28500131327965	92.57839078566568	97.98190708425372	93.90182725851865	103.60126290272416	98.83834541890344	89.58174040846221	100.14017100540744
TP53INP1	714.1150432372611	628.9092629776983	583.1095326399543	707.9166236525499	623.7699446222215	595.029961237265	731.0770487832062	596.9682521833095	616.5981648336358	2203.825211645926	1618.1914777748711	1318.3779722645627	2271.4281509839743	1635.5380141566015	1411.0981246939727	2175.8322252661874	1645.438440775355	1354.136101556593	342.630443935293	342.23181869581254	339.8880012444996	367.0714093496508	283.25068290938685	341.30385233111605	376.7796377974463	311.6369735091109	373.5818845331216	501.9295635117672	500.5529931399757	453.79399316408467	536.8976242806643	419.4993436253068	439.2725490635829	514.2934398018054	458.38133746036704	449.2475046186465
