"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007267","cell-cell signaling","33/131","1641/18723",1.96550202985726e-08,4.65627430873184e-05,3.9289351102094e-05,"6860/287/1952/3798/23208/8609/7532/23002/2782/2563/139285/50944/55638/4131/3084/2899/9746/6857/27230/1958/26045/65268/2149/3371/1363/8792/5122/5865/1821/57497/3992/5743/3749",33
"GO:0050808","synapse organization","16/131","426/18723",4.93699238178873e-08,5.84786747622875e-05,4.93439396474569e-05,"4747/57633/9806/50944/55638/4131/3084/8404/9746/26045/2149/3371/4897/1282/1821/57497",16
"GO:0072384","organelle transport along microtubule","8/131","85/18723",1.41841862886585e-07,0.00011200779105944,9.45114728496929e-05,"4133/4747/3798/55638/4131/1778/22920/7345",8
"GO:0032989","cellular component morphogenesis","20/131","744/18723",2.32348312100914e-07,0.000119897326157482,0.000101168613171473,"4133/6860/287/56896/4747/1952/3798/8609/50944/4131/11214/10324/7345/6857/84033/150465/26999/4897/57498/23242",20
"GO:0099536","synaptic signaling","20/131","748/18723",2.53054719623222e-07,0.000119897326157482,0.000101168613171473,"6860/3798/23208/7532/2782/2563/50944/55638/4131/3084/2899/9746/6857/26045/2149/5865/1821/57497/5743/3749",20
"GO:0051049","regulation of transport","32/131","1759/18723",3.42747088523948e-07,0.000122466819453361,0.00010333673552773,"4133/6860/287/376267/51308/23208/8609/10079/50944/3757/55638/4131/3084/1778/9943/9846/6857/27230/26045/65268/23704/10776/124930/2149/3778/8792/9026/5865/5743/6781/476/3749",32
"GO:0032253","dense core granule localization","4/131","10/18723",4.65260183655656e-07,0.000122466819453361,0.00010333673552773,"4133/6860/3798/55638",4
"GO:0099519","dense core granule cytoskeletal transport","4/131","10/18723",4.65260183655656e-07,0.000122466819453361,0.00010333673552773,"4133/6860/3798/55638",4
"GO:1901950","dense core granule transport","4/131","10/18723",4.65260183655656e-07,0.000122466819453361,0.00010333673552773,"4133/6860/3798/55638",4
"GO:0030029","actin filament-based process","20/131","798/18723",7.01277854305792e-07,0.000153095752699143,0.000129181237642209,"287/54874/23002/50944/6711/57221/3757/57482/11214/10324/10565/1809/84033/26999/23704/9026/55561/23242/6781/476",20
"GO:0051640","organelle localization","16/131","521/18723",7.46067462926015e-07,0.000153095752699143,0.000129181237642209,"4133/6860/4747/376267/54874/3798/23208/55638/4131/1778/9846/22920/7345/6857/150465/5865",16
"GO:0099518","vesicle cytoskeletal trafficking","7/131","73/18723",7.75495581422423e-07,0.000153095752699143,0.000129181237642209,"4133/6860/54874/3798/55638/1778/22920",7
