"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051270","regulation of cellular component movement","35/194","1116/18723",3.62462249508927e-09,9.02358037489124e-06,7.41634735539679e-06,"5919/26012/85407/5176/7139/2192/655/1956/25777/9922/8828/10076/476/6781/7205/157285/975/7114/684/9219/1012/387/3162/116985/6223/114757/11240/3688/87/6386/1803/1647/3916/9448/8826",35
"GO:0009725","response to hormone","30/194","860/18723",5.09806800841313e-09,9.02358037489124e-06,7.41634735539679e-06,"5919/26012/5176/9572/8614/1508/7078/655/6752/1956/83667/10076/476/23462/6781/7706/387/3162/2308/11240/6599/5447/3164/8061/8031/595/11031/8826/2885/8805",30
"GO:0016477","cell migration","41/194","1526/18723",1.18798447702072e-08,1.40182168288446e-05,1.1521365243808e-05,"5919/960/26012/85407/5176/30011/4814/3397/655/30812/5414/1956/25777/9922/8828/10076/6781/7205/157285/1902/975/7114/684/9219/1012/387/3162/6223/114757/11240/3688/2817/2195/3164/9050/6386/1803/558/1647/9448/8826",41
"GO:0040011","locomotion","46/194","1878/18723",2.16939618956233e-08,1.91991562776266e-05,1.57795028103955e-05,"5919/960/26012/85407/5176/93185/30011/4814/3397/2192/655/30812/5414/1956/25777/9922/8828/10076/6781/7205/157285/1902/975/7114/117283/684/9219/7408/1012/387/3162/6223/114757/11240/3688/2817/2195/3164/9050/6386/1803/558/8061/1647/9448/8826",46
"GO:0048870","cell motility","43/194","1710/18723",3.34070470858126e-08,1.97101577806295e-05,1.61994873938923e-05,"5919/960/26012/85407/5176/93185/30011/4814/3397/2192/655/30812/5414/1956/25777/9922/8828/10076/6781/7205/157285/1902/975/7114/684/9219/1012/387/3162/6223/114757/11240/3688/2817/2195/3164/9050/6386/1803/558/1647/9448/8826",43
"GO:0051674","localization of cell","43/194","1710/18723",3.34070470858126e-08,1.97101577806295e-05,1.61994873938923e-05,"5919/960/26012/85407/5176/93185/30011/4814/3397/2192/655/30812/5414/1956/25777/9922/8828/10076/6781/7205/157285/1902/975/7114/684/9219/1012/387/3162/6223/114757/11240/3688/2817/2195/3164/9050/6386/1803/558/1647/9448/8826",43
"GO:0009719","response to endogenous stimulus","41/194","1601/18723",4.56420254929785e-08,2.30818243207348e-05,1.89706102951267e-05,"5919/960/26012/5176/9572/8614/7431/1508/7078/3397/4053/655/6752/1956/83667/10076/476/23462/6781/975/7706/1012/387/3162/2308/11240/6599/3688/5447/2817/3164/3949/6386/8061/8031/595/11031/8826/2885/11173/8805",41
"GO:0030029","actin filament-based process","27/194","798/18723",6.08356344036444e-08,2.69197682236126e-05,2.2124959669957e-05,"89/23406/11113/7139/30011/3397/25777/9922/476/6781/1902/7114/684/7408/387/116985/5910/3688/23704/2195/87/9050/6386/3985/7094/8826/2885",27
"GO:0009991","response to extracellular stimulus","21/194","505/18723",6.93464750040812e-08,2.7276280168272e-05,2.24179715685708e-05,"5919/8614/3920/655/6752/1956/83667/6781/7706/22856/3162/2308/6223/8408/5447/3949/558/23710/8061/595/8805",21
"GO:1902531","regulation of intracellular signal transduction","41/194","1694/18723",2.12611359496036e-07,7.52644212615967e-05,6.1858715541794e-05,"89/960/11113/9572/7078/7178/2192/655/5414/1956/83667/9922/8878/5997/7205/157285/1902/975/7114/7706/684/1012/387/4880/3162/55379/2308/116985/56882/1263/754/3589/3688/138151/6386/558/1647/9448/8826/2885/8805",41
"GO:0001890","placenta development","11/194","144/18723",3.13901252860008e-07,0.000101019130465857,8.30261304215372e-05,"1747/8614/1508/655/23462/6781/8728/8061/1050/639/2885",11
"GO:0009888","tissue development","43/194","1870/18723",4.12129804077996e-07,0.000121578292203009,9.9923401620314e-05,"89/1747/960/26227/85407/93185/8614/7139/7431/1508/3397/7178/655/768/30812/1956/8828/5997/7045/3398/23462/6781/22856/7408/64434/387/4880/9139/221662/1134/2308/3688/5447/2817/2195/3164/6386/595/6443/639/8826/2885/11173",43
"GO:0032870","cellular response to hormone stimulus","21/194","586/18723",8.06796026676185e-07,0.000219696764187207,0.000180565523703075,"5919/26012/5176/9572/1508/655/6752/1956/476/23462/6781/387/2308/11240/6599/5447/3164/8031/11031/2885/8805",21
"GO:2000145","regulation of cell motility","29/194","1043/18723",1.15212595756744e-06,0.000291323277842052,0.000239434296745594,"5919/26012/85407/5176/2192/655/1956/25777/9922/8828/10076/6781/7205/157285/975/7114/684/9219/1012/387/3162/114757/11240/3688/6386/1803/1647/9448/8826",29
"GO:0030036","actin cytoskeleton organization","23/194","712/18723",1.39860466746827e-06,0.000330070701522512,0.000271280231640864,"89/23406/11113/7139/30011/3397/9922/1902/7114/684/7408/387/116985/5910/3688/2195/87/9050/6386/3985/7094/8826/2885",23
"GO:0071383","cellular response to steroid hormone stimulus","12/194","204/18723",1.50135608161312e-06,0.000332175033056902,0.000273009750630175,"5176/9572/655/6752/1956/476/23462/6781/387/2308/11240/8031",12
"GO:0048608","reproductive structure development","17/194","424/18723",2.14912043197295e-06,0.000403455387260997,0.00033159402033583,"1747/5176/8614/1508/655/30812/23462/6781/6599/8728/558/8061/8031/1050/595/639/2885",17
