"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030182","neuron differentiation","21/80","1363/18723",1.71808247310664e-07,0.000251219728207994,0.000222371529753488,"23462/4884/26508/26227/7804/26012/4009/2043/9742/30812/3714/6469/1000/4744/2288/54437/10938/482/8437/23768/26011",21
"GO:0048699","generation of neurons","22/80","1514/18723",2.23903501076644e-07,0.000251219728207994,0.000222371529753488,"23462/4884/26508/26227/7804/26012/4009/2043/9742/30812/3714/6469/1000/4744/2288/54437/10938/9572/482/8437/23768/26011",22
"GO:0022008","neurogenesis","22/80","1632/18723",8.10263248189515e-07,0.000606076909645757,0.000536479561169689,"23462/4884/26508/26227/7804/26012/4009/2043/9742/30812/3714/6469/1000/4744/2288/54437/10938/9572/482/8437/23768/26011",22
"GO:0032989","cellular component morphogenesis","14/80","744/18723",2.86638709075888e-06,0.00148291007500641,0.00131262375060376,"4884/7804/26012/4009/2043/64753/6469/1000/4744/84033/54437/8437/23768/26011",14
"GO:0048666","neuron development","17/80","1104/18723",3.30416683379326e-06,0.00148291007500641,0.00131262375060376,"4884/26227/7804/26012/4009/2043/9742/6469/1000/4744/2288/54437/10938/482/8437/23768/26011",17
"GO:0042063","gliogenesis","9/80","301/18723",5.43157574813915e-06,0.00203140932980404,0.00179813744504186,"26227/7804/2043/30812/6469/1000/9572/482/26011",9
"GO:0031175","neuron projection development","15/80","963/18723",1.20008278630818e-05,0.00384712253210794,0.00340534769588502,"4884/26227/7804/26012/4009/2043/6469/1000/4744/2288/54437/10938/482/8437/23768",15
"GO:0086010","membrane depolarization during action potential","4/80","36/18723",1.64037874119434e-05,0.00460126236905012,0.0040728877429391,"6334/6329/8912/610",4
"GO:0051960","regulation of nervous system development","10/80","443/18723",1.86374667104443e-05,0.00464694169980411,0.00411332160030507,"23462/26508/7804/2043/30812/6469/54437/9572/23768/26011",10
"GO:0050767","regulation of neurogenesis","9/80","364/18723",2.47172776779495e-05,0.00554655711093187,0.00490963189245165,"23462/26508/7804/2043/30812/6469/54437/9572/26011",9
"GO:0014031","mesenchymal cell development","5/80","86/18723",3.33401529329787e-05,0.00680139119832766,0.00602037019947663,"26508/30812/6469/1000/54437",5
"GO:0010001","glial cell differentiation","7/80","225/18723",4.97586147498244e-05,0.00913140060774027,0.00808281871977009,"26227/2043/30812/6469/1000/9572/26011",7
"GO:0060284","regulation of cell development","10/80","501/18723",5.29002709004561e-05,0.00913140060774027,0.00808281871977009,"23462/26508/7804/2043/4880/30812/6469/54437/9572/26011",10
"GO:0048812","neuron projection morphogenesis","11/80","615/18723",5.88431544425473e-05,0.0094317170406483,0.00834864905511931,"4884/7804/26012/4009/2043/6469/1000/4744/54437/8437/23768",11
"GO:0120039","plasma membrane bounded cell projection morphogenesis","11/80","630/18723",7.30145551478544e-05,0.0108350616093328,0.00959084400826107,"4884/7804/26012/4009/2043/6469/1000/4744/54437/8437/23768",11
"GO:0048858","cell projection morphogenesis","11/80","634/18723",7.72553412430144e-05,0.0108350616093328,0.00959084400826107,"4884/7804/26012/4009/2043/6469/1000/4744/54437/8437/23768",11
"GO:0050808","synapse organization","9/80","426/18723",8.35014148785349e-05,0.0110221867639666,0.00975648110686039,"7804/4009/2043/9806/1821/1000/4744/8497/23768",9
"GO:0032990","cell part morphogenesis","11/80","652/18723",9.90612097679539e-05,0.0123496308177383,0.0109314913936918,"4884/7804/26012/4009/2043/6469/1000/4744/54437/8437/23768",11
"GO:0048667","cell morphogenesis involved in neuron differentiation","10/80","544/18723",0.000104729235160664,0.0123690738789752,0.0109487017589015,"4884/7804/26012/4009/2043/6469/1000/4744/54437/23768",10
"GO:0051049","regulation of transport","19/80","1759/18723",0.000119662827313276,0.0134261692245495,0.0118844081652711,"9094/4868/9783/5901/684/6334/6469/1000/6329/4744/2922/8912/610/10938/9572/482/7323/91543/388581",19
"GO:0071248","cellular response to metal ion","6/80","197/18723",0.000197935771353884,0.0211508509961008,0.0187220451400892,"6469/8912/4494/7323/1050/8437",6
"GO:0045665","negative regulation of neuron differentiation","4/80","69/18723",0.000216343153801833,0.0220670016877869,0.0195329919245961,"23462/4009/30812/6469",4
"GO:0072073","kidney epithelium development","5/80","136/18723",0.000291791623922041,0.0284687132209157,0.0251995786883704,"26508/4868/2043/30812/6469",5
"GO:0045685","regulation of glial cell differentiation","4/80","76/18723",0.000313884475893189,0.0293481984960132,0.0259780704390547,"2043/6469/9572/26011",4
"GO:0019228","neuronal action potential","3/80","32/18723",0.000340732372507451,0.0305841377562688,0.0270720836598551,"6334/6329/8912",3
"GO:0007417","central nervous system development","13/80","1024/18723",0.000376341316473836,0.0309108860248966,0.0273613105962003,"4884/26227/7804/4009/2043/30812/1821/6469/1000/9572/482/1152/26011",13
"GO:0014032","neural crest cell development","4/80","81/18723",0.000400518672629065,0.0309108860248966,0.0273613105962003,"30812/6469/1000/54437",4
"GO:0048708","astrocyte differentiation","4/80","81/18723",0.000400518672629065,0.0309108860248966,0.0273613105962003,"2043/30812/6469/9572",4
"GO:0007409","axonogenesis","8/80","418/18723",0.000411106133967698,0.0309108860248966,0.0273613105962003,"4884/4009/2043/6469/1000/4744/54437/23768",8
"GO:0071241","cellular response to inorganic substance","6/80","226/18723",0.000413247139370275,0.0309108860248966,0.0273613105962003,"6469/8912/4494/7323/1050/8437",6
"GO:0051899","membrane depolarization","4/80","83/18723",0.000439529756886992,0.0313790173197903,0.0277756851873742,"6334/6329/8912/610",4
"GO:0120036","plasma membrane bounded cell projection organization","16/80","1478/18723",0.000447472617751021,0.0313790173197903,0.0277756851873742,"4884/26227/7804/26012/4009/2043/9742/6469/1000/4744/2288/54437/10938/482/8437/23768",16
"GO:0048864","stem cell development","4/80","86/18723",0.000503025563573701,0.0342057383230117,0.0302778066495558,"30812/6469/1000/54437",4
"GO:0048762","mesenchymal cell differentiation","6/80","236/18723",0.000519556454773825,0.0342907260150725,0.0303530349894182,"23462/26508/30812/6469/1000/54437",6
"GO:0030030","cell projection organization","16/80","1522/18723",0.000617584035244602,0.037782077176652,0.0334434654434479,"4884/26227/7804/26012/4009/2043/9742/6469/1000/4744/2288/54437/10938/482/8437/23768",16
"GO:0010975","regulation of neuron projection development","8/80","445/18723",0.000620978260359445,0.037782077176652,0.0334434654434479,"7804/26012/2043/1000/2288/54437/10938/482",8
"GO:0014033","neural crest cell differentiation","4/80","91/18723",0.000622966513162265,0.037782077176652,0.0334434654434479,"30812/6469/1000/54437",4
"GO:0000904","cell morphogenesis involved in differentiation","10/80","694/18723",0.000727207330787728,0.041842391033017,0.0370375231631969,"4884/7804/26012/4009/2043/6469/1000/4744/54437/23768",10
"GO:0034330","cell junction organization","10/80","694/18723",0.000727207330787728,0.041842391033017,0.0370375231631969,"7804/4009/2043/55765/9806/1821/1000/4744/8497/23768",10
"GO:0007520","myoblast fusion","3/80","42/18723",0.000764768862331327,0.0429035331767875,0.0379768116636635,"4868/8912/10938",3
"GO:0061564","axon development","8/80","467/18723",0.000849846485143458,0.0465135490893151,0.0411722802943698,"4884/4009/2043/6469/1000/4744/54437/23768",8
