"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051270","regulation of cellular component movement","26/137","1116/18723",1.28145342958693e-07,0.000123401267290319,0.000107084197534855,"5919/85407/5176/7139/1956/9922/10076/975/655/8828/2192/7114/476/25777/9219/87/7205/387/684/11240/157285/6781/6223/1647/3162/1803",26
"GO:0016477","cell migration","31/137","1526/18723",1.40264031119244e-07,0.000123401267290319,0.000107084197534855,"5919/85407/5176/960/1956/4814/5414/9922/30011/10076/3397/975/30812/655/8828/7114/1902/25777/9219/7205/387/684/11240/157285/6781/2195/2817/6223/1647/3162/1803",31
"GO:0048870","cell motility","33/137","1710/18723",1.6670215101698e-07,0.000123401267290319,0.000107084197534855,"5919/85407/5176/93185/960/1956/4814/5414/9922/30011/10076/3397/975/30812/655/8828/2192/7114/1902/25777/9219/7205/387/684/11240/157285/6781/2195/2817/6223/1647/3162/1803",33
"GO:0051674","localization of cell","33/137","1710/18723",1.6670215101698e-07,0.000123401267290319,0.000107084197534855,"5919/85407/5176/93185/960/1956/4814/5414/9922/30011/10076/3397/975/30812/655/8828/2192/7114/1902/25777/9219/7205/387/684/11240/157285/6781/2195/2817/6223/1647/3162/1803",33
"GO:0040011","locomotion","34/137","1878/18723",4.65496167240868e-07,0.000275666830240042,0.000239216030365254,"5919/85407/5176/93185/960/1956/4814/5414/9922/30011/10076/3397/975/30812/655/8828/2192/7114/1902/25777/9219/7205/387/684/11240/157285/6781/7408/2195/2817/6223/1647/3162/1803",34
"GO:2000145","regulation of cell motility","22/137","1043/18723",6.83227780976391e-06,0.00337172909911849,0.00292589300590065,"5919/85407/5176/1956/9922/10076/975/655/8828/2192/7114/25777/9219/7205/387/684/11240/157285/6781/1647/3162/1803",22
"GO:0040012","regulation of locomotion","22/137","1082/18723",1.21634962264439e-05,0.00514515890378576,0.00446482620883451,"5919/85407/5176/1956/9922/10076/975/655/8828/2192/7114/25777/9219/7205/387/684/11240/157285/6781/1647/3162/1803",22
"GO:0061061","muscle structure development","16/137","636/18723",1.70398196583888e-05,0.00630686325106114,0.00547292102449039,"89/85407/93185/7139/4814/10290/3398/975/30812/5997/85461/87/387/221662/1134/2817",16
"GO:0030029","actin filament-based process","18/137","798/18723",2.12790028074876e-05,0.00700079192366342,0.00607509308223126,"89/23406/11113/7139/9922/30011/3397/7114/476/1902/25777/87/387/684/6781/7408/5910/2195",18
"GO:0030334","regulation of cell migration","20/137","985/18723",3.23605915825447e-05,0.00958197116759149,0.00831496884768333,"5919/85407/5176/1956/9922/10076/975/655/8828/7114/25777/9219/7205/387/684/11240/6781/1647/3162/1803",20
"GO:0001667","ameboidal-type cell migration","13/137","475/18723",4.69376887953237e-05,0.0126347724111776,0.0109641051052043,"5176/9922/3397/30812/655/8828/7114/9219/387/6781/1647/3162/1803",13
"GO:0009888","tissue development","29/137","1870/18723",7.32963206756643e-05,0.0143531025167361,0.0124552243173013,"89/8614/85407/1747/1508/93185/7178/7139/960/1956/768/26227/3398/3397/7045/30812/5997/655/8828/387/221662/1134/6781/7408/2195/4880/8516/2817/9139",29
"GO:0007155","cell adhesion","25/137","1492/18723",7.50352540054434e-05,0.0143531025167361,0.0124552243173013,"89/1013/960/1956/4814/10076/3397/7045/975/6541/655/8828/2192/976/3959/87/7205/54751/387/2195/4811/8516/8728/92211/1803",25
"GO:0060284","regulation of cell development","13/137","501/18723",8.0559035400484e-05,0.0143531025167361,0.0124552243173013,"89/5176/1956/3398/3397/30812/655/2192/7520/4880/3949/8408/6223",13
