"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048699","generation of neurons","11/30","1514/18723",1.2029170794735e-05,0.0151928427137503,0.0125863113368069,"11113/9572/26012/85407/9922/26227/3397/8828/5414/30812/157285",11
"GO:0022008","neurogenesis","11/30","1632/18723",2.44840437685914e-05,0.0154616736398655,0.012809020792621,"11113/9572/26012/85407/9922/26227/3397/8828/5414/30812/157285",11
"GO:0016477","cell migration","10/30","1526/18723",8.27229217324819e-05,0.0284218369245129,0.0235456981314046,"26012/85407/9922/10076/3397/8828/5414/30812/157285/4814",10
"GO:0040011","locomotion","11/30","1878/18723",9.00137353112048e-05,0.0284218369245129,0.0235456981314046,"26012/85407/9922/10076/3397/8828/5414/30812/117283/157285/4814",11
"GO:0048870","cell motility","10/30","1710/18723",0.000214056015729519,0.0450587913110637,0.0373283648482705,"26012/85407/9922/10076/3397/8828/5414/30812/157285/4814",10
"GO:0051674","localization of cell","10/30","1710/18723",0.000214056015729519,0.0450587913110637,0.0373283648482705,"26012/85407/9922/10076/3397/8828/5414/30812/157285/4814",10
