"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032989","cellular component morphogenesis","22/116","744/18723",9.14136422819073e-10,1.19815823049855e-06,9.92654907115914e-07,"6860/4133/4131/3670/56896/287/4744/8609/4747/6857/11214/4884/5015/57556/816/4897/66008/2115/3730/50944/23022/6469",22
"GO:0048812","neuron projection morphogenesis","20/116","615/18723",1.16365233777621e-09,1.19815823049855e-06,9.92654907115914e-07,"6860/4133/4131/3670/56896/4744/8609/4747/6857/4884/5015/57556/816/4897/66008/2115/3730/50944/23022/6469",20
"GO:0120039","plasma membrane bounded cell projection morphogenesis","20/116","630/18723",1.76086243727094e-09,1.19815823049855e-06,9.92654907115914e-07,"6860/4133/4131/3670/56896/4744/8609/4747/6857/4884/5015/57556/816/4897/66008/2115/3730/50944/23022/6469",20
"GO:0048858","cell projection morphogenesis","20/116","634/18723",1.96258514414177e-09,1.19815823049855e-06,9.92654907115914e-07,"6860/4133/4131/3670/56896/4744/8609/4747/6857/4884/5015/57556/816/4897/66008/2115/3730/50944/23022/6469",20
"GO:0032990","cell part morphogenesis","20/116","652/18723",3.16541229081685e-09,1.54598736283495e-06,1.28082577325263e-06,"6860/4133/4131/3670/56896/4744/8609/4747/6857/4884/5015/57556/816/4897/66008/2115/3730/50944/23022/6469",20
"GO:0061564","axon development","17/116","467/18723",4.42508147655031e-09,1.80100816095598e-06,1.49210642068942e-06,"4133/4131/3670/56896/4744/8609/4747/4884/5015/57556/4897/66008/2115/27242/3730/23022/6469",17
"GO:0007409","axonogenesis","16/116","418/18723",6.4735947961525e-09,2.01948672192686e-06,1.67311240982086e-06,"4133/4131/3670/56896/4744/8609/4747/4884/5015/57556/4897/66008/2115/3730/23022/6469",16
"GO:0048667","cell morphogenesis involved in neuron differentiation","18/116","544/18723",6.6158451168775e-09,2.01948672192686e-06,1.67311240982086e-06,"4133/4131/3670/56896/4744/8609/4747/4884/5015/57556/816/4897/66008/2115/3730/50944/23022/6469",18
"GO:0031175","neuron projection development","23/116","963/18723",2.06531704399033e-08,5.60389357936043e-06,4.64273609187066e-06,"6860/4133/4131/3670/56896/4744/8609/4747/6857/4884/1809/5015/57556/816/4897/10565/66008/2115/27242/3730/50944/23022/6469",23
"GO:0030705","cytoskeleton-dependent intracellular transport","11/116","195/18723",3.57853512914103e-08,8.73878278536239e-06,7.23994159811479e-06,"6860/4133/4131/54874/4744/55638/4747/7846/283234/22920/66008",11
"GO:0007267","cell-cell signaling","30/116","1641/18723",4.51918188191365e-08,1.00325837778483e-05,8.31183500195028e-06,"6860/4131/3670/287/9783/1143/8609/55638/6857/6854/4884/26045/2899/3084/55636/610/816/50944/57497/65268/5865/1821/5122/1958/2982/64084/154810/8573/7091/6469",30
"GO:0000904","cell morphogenesis involved in differentiation","19/116","694/18723",5.04569520843302e-08,1.02679897491612e-05,8.50686507948094e-06,"4133/4131/3670/56896/4744/8609/4747/4884/5015/57556/816/4897/66008/2115/3730/50944/8516/23022/6469",19
"GO:2000026","regulation of multicellular organismal development","27/116","1382/18723",6.6085723951216e-08,1.18757963149037e-05,9.83890707239318e-06,"4133/4131/3670/222166/200734/57633/8609/4747/399473/26045/2119/55636/5015/57556/55553/816/66008/27242/7046/2549/814/64084/1021/5613/55294/576/6469",27
