"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030029","actin filament-based process","31/219","798/18723",4.26978567627098e-09,6.97668036553908e-06,5.63486669394428e-06,"287/54874/23002/50944/6711/57221/3757/57482/11214/5910/10324/10565/1809/84033/26999/23704/9026/89/7046/6262/55561/23242/6781/23092/476/775/154810/50848/3984/4627/2919",31
"GO:0030182","neuron differentiation","42/219","1363/18723",5.93512882758188e-09,6.97668036553908e-06,5.63486669394428e-06,"4133/6860/56896/4747/1641/1952/3798/9334/8609/7532/2119/57556/50944/4131/3084/3714/11075/10938/10565/7345/6857/5597/1809/150465/26999/204851/81565/3371/816/4897/23462/57498/7046/54437/6801/23242/4685/7042/5538/282991/55754/3984",42
"GO:0007267","cell-cell signaling","47/219","1641/18723",6.29285661353495e-09,6.97668036553908e-06,5.63486669394428e-06,"6860/287/1952/3798/23208/8609/7532/23002/2782/2563/139285/50944/55638/4131/3084/2899/9746/6857/4885/27230/1958/26045/65268/2149/3371/816/1363/8792/5122/5865/1821/57497/3992/6801/5743/6262/3749/775/154810/55333/22829/7091/8573/5538/777/4355/23228",47
"GO:0034330","cell junction organization","28/219","694/18723",1.15326871666624e-08,9.5894293790798e-06,7.74510990771644e-06,"287/4747/57633/9806/7846/50944/55638/4131/3084/8404/9746/26045/204851/2149/3371/816/4897/1282/89/7046/1821/57497/6801/8497/7042/22829/50848/323",28
"GO:0099536","synaptic signaling","29/219","748/18723",1.4864161935788e-08,9.8876405196862e-06,7.98596658108022e-06,"6860/3798/23208/7532/2782/2563/50944/55638/4131/3084/2899/9746/6857/4885/26045/2149/816/5865/1821/57497/5743/3749/55333/22829/8573/5538/777/4355/23228",29
"GO:0050808","synapse organization","21/219","426/18723",3.15860452048021e-08,1.75091977251953e-05,1.41416819934482e-05,"4747/57633/9806/7846/50944/55638/4131/3084/8404/9746/26045/2149/3371/816/4897/1282/1821/57497/8497/22829/323",21
"GO:0051049","regulation of transport","47/219","1759/18723",5.4086262127505e-08,2.21565433508914e-05,1.78952111376001e-05,"4133/6860/287/376267/51308/23208/8609/3638/10079/50944/3757/55638/4131/3084/1778/9943/10938/9846/6857/27230/26045/65268/23704/10776/124930/2149/81565/816/3778/8792/10105/9026/5865/5743/6262/55294/6781/476/3749/775/7042/8573/5538/777/55754/1909/128414",47
"GO:0072384","organelle transport along microtubule","10/219","85/18723",5.68446726033518e-08,2.21565433508914e-05,1.78952111376001e-05,"4133/4747/3798/55638/4131/1778/22920/7345/81565/282991",10
"GO:0120036","plasma membrane bounded cell projection organization","42/219","1478/18723",5.99545670950159e-08,2.21565433508914e-05,1.78952111376001e-05,"4133/6860/478/56896/4747/1641/54874/1952/3798/9334/8609/57556/50944/22919/4131/3983/11075/10938/10565/22920/7345/6857/5597/1809/150465/26999/81565/3371/816/4897/63917/57498/7046/54437/6801/140735/23242/4685/282991/55754/3984/4627",42
"GO:0048666","neuron development","35/219","1104/18723",6.78602004406708e-08,2.25703026665671e-05,1.82293927920623e-05,"4133/6860/56896/4747/1641/1952/3798/9334/8609/57556/50944/4131/11075/10938/10565/7345/6857/5597/1809/150465/26999/81565/3371/816/4897/57498/54437/6801/23242/4685/7042/5538/282991/55754/3984",35
