"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","16/139","434/18723",1.47180834759318e-07,0.000233170708770749,0.00020583550795862,"9783/2899/23704/6329/6648/610/8912/1143/3778/6334/478/50944/482/2563/6262/1832",16
"GO:0048699","generation of neurons","31/139","1514/18723",1.66491045177258e-07,0.000233170708770749,0.00020583550795862,"1021/23462/4884/26508/4009/92211/26227/10938/7804/6860/3714/3670/1000/285313/9572/4744/9742/54437/5015/4685/8437/10152/50944/482/9334/23768/6469/27242/66008/10512/204851",31
"GO:0030182","neuron differentiation","28/139","1363/18723",7.02310070700283e-07,0.000600238069524858,0.000529870619633549,"23462/4884/26508/4009/92211/26227/10938/7804/6860/3714/3670/1000/4744/9742/54437/5015/4685/8437/10152/50944/482/9334/23768/6469/27242/66008/10512/204851",28
"GO:0022008","neurogenesis","31/139","1632/18723",8.57176821884839e-07,0.000600238069524858,0.000529870619633549,"1021/23462/4884/26508/4009/92211/26227/10938/7804/6860/3714/3670/1000/285313/9572/4744/9742/54437/5015/4685/8437/10152/50944/482/9334/23768/6469/27242/66008/10512/204851",31
"GO:0048666","neuron development","24/139","1104/18723",1.89124281540982e-06,0.000997214703871981,0.00088030866397162,"4884/4009/92211/26227/10938/7804/6860/3670/1000/4744/9742/54437/5015/4685/8437/10152/50944/482/9334/23768/6469/27242/66008/10512",24
"GO:0031175","neuron projection development","22/139","963/18723",2.42223815183471e-06,0.000997214703871981,0.00088030866397162,"4884/4009/26227/10938/7804/6860/3670/1000/4744/54437/5015/4685/8437/10152/50944/482/9334/23768/6469/27242/66008/10512",22
"GO:0048667","cell morphogenesis involved in neuron differentiation","16/139","544/18723",2.90003754774556e-06,0.000997214703871981,0.00088030866397162,"4884/4009/92211/7804/3670/1000/4744/54437/5015/10152/50944/9334/23768/6469/66008/10512",16
"GO:0035637","multicellular organismal signaling","9/139","160/18723",3.0822214828657e-06,0.000997214703871981,0.00088030866397162,"23704/6329/3670/8912/6334/478/482/6262/1832",9
"GO:0048812","neuron projection morphogenesis","17/139","615/18723",3.20418862365149e-06,0.000997214703871981,0.00088030866397162,"4884/4009/7804/6860/3670/1000/4744/54437/5015/8437/10152/50944/9334/23768/6469/66008/10512",17
"GO:0120039","plasma membrane bounded cell projection morphogenesis","17/139","630/18723",4.41624740731941e-06,0.00122290794895336,0.00107954331050619,"4884/4009/7804/6860/3670/1000/4744/54437/5015/8437/10152/50944/9334/23768/6469/66008/10512",17
"GO:0048858","cell projection morphogenesis","17/139","634/18723",4.80256602587896e-06,0.00122290794895336,0.00107954331050619,"4884/4009/7804/6860/3670/1000/4744/54437/5015/8437/10152/50944/9334/23768/6469/66008/10512",17
"GO:0032990","cell part morphogenesis","17/139","652/18723",6.94505403847786e-06,0.00162109136348137,0.00143104666108636,"4884/4009/7804/6860/3670/1000/4744/54437/5015/8437/10152/50944/9334/23768/6469/66008/10512",17
"GO:0061564","axon development","14/139","467/18723",1.01367852375783e-05,0.00203642062534534,0.00179768580730047,"4884/4009/3670/1000/4744/54437/5015/4685/9334/23768/6469/27242/66008/10512",14
"GO:0032989","cellular component morphogenesis","18/139","744/18723",1.01784679595983e-05,0.00203642062534534,0.00179768580730047,"4884/4009/7804/6860/3670/1000/4744/84033/54437/5015/8437/10152/50944/9334/23768/6469/66008/10512",18
"GO:0000902","cell morphogenesis","21/139","988/18723",1.27120034763655e-05,0.00237375478248665,0.00209547341515667,"4884/4009/388/8516/92211/7804/6860/3670/1000/4744/54437/5015/9733/8437/10152/50944/9334/23768/6469/66008/10512",21
"GO:0003208","cardiac ventricle morphogenesis","6/139","71/18723",1.44775477011446e-05,0.00253447569443162,0.00223735260197293,"23462/26508/3670/6262/10512/1832",6
"GO:0000904","cell morphogenesis involved in differentiation","17/139","694/18723",1.5613594052752e-05,0.00257256923186815,0.00227098033621762,"4884/4009/8516/92211/7804/3670/1000/4744/54437/5015/10152/50944/9334/23768/6469/66008/10512",17
"GO:0051049","regulation of transport","29/139","1759/18723",3.18954577577366e-05,0.0049632876210789,0.00438142867093119,"4868/9783/10938/5608/55638/388581/23704/6329/6860/9094/3670/1000/610/91543/8912/9572/5901/4744/1143/3778/6334/2922/50944/482/124930/7323/6469/773/6262",29
"GO:0014031","mesenchymal cell development","6/139","86/18723",4.33897946938377e-05,0.00639656920723365,0.005646682977054,"26508/3670/1000/54437/6469/10512",6
"GO:0001508","action potential","7/139","134/18723",6.40041896208032e-05,0.00896378675639348,0.00791293902206666,"23704/6329/610/8912/6334/6262/1832",7
"GO:0007409","axonogenesis","12/139","418/18723",6.79050925616346e-05,0.00905724591738755,0.00799544172567818,"4884/4009/3670/1000/4744/54437/5015/9334/23768/6469/66008/10512",12
"GO:0120036","plasma membrane bounded cell projection organization","25/139","1478/18723",8.23532075096715e-05,0.0104850606470268,0.00925587006890997,"4884/4009/221178/26227/10938/7804/6860/3670/1000/4744/9742/54437/5015/4685/8437/478/10152/50944/482/9334/23768/6469/27242/66008/10512",25
