"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000904","cell morphogenesis involved in differentiation","15/73","694/18723",5.8097888677535e-08,0.000120146433785142,9.43632023467753e-05,"92211/5015/4744/816/3670/7804/66008/6091/4884/1000/8609/23022/23768/2195/1955",15
"GO:0048667","cell morphogenesis involved in neuron differentiation","13/73","544/18723",1.59573003140458e-07,0.000164998485247233,0.000129590075708277,"92211/5015/4744/816/3670/7804/66008/6091/4884/1000/8609/23022/23768",13
"GO:0032989","cellular component morphogenesis","14/73","744/18723",9.08925154604086e-07,0.000509777834148517,0.000400380330902556,"5015/4744/816/3670/7804/66008/6091/4884/1000/11214/8609/23022/23768/2817",14
"GO:0000902","cell morphogenesis","16/73","988/18723",9.86030626979724e-07,0.000509777834148517,0.000400380330902556,"92211/5015/4744/816/3670/7804/66008/7042/6091/4884/1000/8609/23022/23768/2195/1955",16
"GO:0061564","axon development","11/73","467/18723",1.82526429511482e-06,0.000754929312459489,0.000592922696286772,"5015/27242/4744/3670/66008/6091/4884/1000/8609/23022/23768",11
"GO:0022008","neurogenesis","20/73","1632/18723",2.70460861751677e-06,0.000932188436837447,0.000732142297689189,"92211/5015/27242/4744/816/3670/3714/7804/26508/66008/7042/6091/4884/1000/55636/8609/23022/23768/2817/1021",20
"GO:0048699","generation of neurons","19/73","1514/18723",3.64177064507307e-06,0.00107029919974358,0.00084061471302267,"92211/5015/27242/4744/816/3670/3714/7804/26508/66008/7042/6091/4884/1000/55636/8609/23022/23768/1021",19
"GO:0048812","neuron projection morphogenesis","12/73","615/18723",4.17519170328599e-06,0.00107029919974358,0.00084061471302267,"5015/4744/816/3670/7804/66008/6091/4884/1000/8609/23022/23768",12
"GO:0007409","axonogenesis","10/73","418/18723",4.89486480994076e-06,0.00107029919974358,0.00084061471302267,"5015/4744/3670/66008/6091/4884/1000/8609/23022/23768",10
"GO:0120039","plasma membrane bounded cell projection morphogenesis","12/73","630/18723",5.33829198585788e-06,0.00107029919974358,0.00084061471302267,"5015/4744/816/3670/7804/66008/6091/4884/1000/8609/23022/23768",12
"GO:0048858","cell projection morphogenesis","12/73","634/18723",5.69308084969987e-06,0.00107029919974358,0.00084061471302267,"5015/4744/816/3670/7804/66008/6091/4884/1000/8609/23022/23768",12
"GO:0060411","cardiac septum morphogenesis","5/73","68/18723",6.7516192115106e-06,0.00116352904411699,0.000913837582750952,"3670/26508/7042/6091/55636",5
"GO:0032990","cell part morphogenesis","12/73","652/18723",7.55994590115978e-06,0.00120261293258449,0.000944534131618586,"5015/4744/816/3670/7804/66008/6091/4884/1000/8609/23022/23768",12
"GO:0003203","endocardial cushion morphogenesis","4/73","36/18723",1.13975064643119e-05,0.00161163188936855,0.00126577827817147,"3670/26508/7042/6091",4
"GO:0007267","cell-cell signaling","19/73","1641/18723",1.168978643159e-05,0.00161163188936855,0.00126577827817147,"8549/816/1143/3670/7804/610/9783/2982/6854/3992/4884/1000/5122/55636/8609/55638/2195/488/7091",19
"GO:0030182","neuron differentiation","17/73","1363/18723",1.45080424940842e-05,0.00187516449236039,0.00147275720844552,"92211/5015/27242/4744/816/3670/3714/7804/26508/66008/7042/6091/4884/1000/8609/23022/23768",17
"GO:0048666","neuron development","15/73","1104/18723",1.89438956698056e-05,0.00230446919089164,0.00180993380919566,"92211/5015/27242/4744/816/3670/7804/66008/7042/6091/4884/1000/8609/23022/23768",15
"GO:0045595","regulation of cell differentiation","18/73","1554/18723",2.09806444449735e-05,0.00241044292845584,0.00189316575313416,"27242/816/3670/7804/26508/66008/7042/6091/3992/255743/2784/28951/55636/8609/5613/2817/1021/55294",18
"GO:0003197","endocardial cushion development","4/73","45/18723",2.80749993817554e-05,0.00302428176857736,0.0023752757655069,"3670/26508/7042/6091",4
"GO:0009887","animal organ morphogenesis","14/73","1007/18723",2.92483730036495e-05,0.00302428176857736,0.0023752757655069,"3670/3714/26508/7042/6091/1000/255743/55636/5613/23768/2195/80816/1955/55294",14
"GO:0045747","positive regulation of Notch signaling pathway","4/73","47/18723",3.34118999279578e-05,0.00325120050736175,0.00255349810794013,"4242/3714/7042/6091",4
"GO:0008593","regulation of Notch signaling pathway","5/73","95/18723",3.45872394400186e-05,0.00325120050736175,0.00255349810794013,"4242/3714/7042/6091/55294",5
"GO:0003184","pulmonary valve morphogenesis","3/73","17/18723",3.71797509721228e-05,0.00334294456566739,0.00262555403890093,"26508/7042/6091",3
"GO:0050680","negative regulation of epithelial cell proliferation","6/73","164/18723",4.32006450686068e-05,0.00372245558341162,0.00292362260266931,"3670/1030/7042/6091/1021/55294",6
"GO:0072132","mesenchyme morphogenesis","4/73","52/18723",4.99724277545882e-05,0.00405726073414149,0.00318657910657656,"3670/26508/7042/6091",4
"GO:0003279","cardiac septum development","5/73","103/18723",5.10100479147382e-05,0.00405726073414149,0.00318657910657656,"3670/26508/7042/6091/55636",5
"GO:0007219","Notch signaling pathway","6/73","172/18723",5.63439271509173e-05,0.00431552745733692,0.00338942220638851,"4242/3714/26508/7042/6091/55294",6
"GO:0003215","cardiac right ventricle morphogenesis","3/73","20/18723",6.18089519382611e-05,0.00456503259315443,0.00358538394138109,"3670/7042/55636",3
