"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030182","neuron differentiation","34/159","1363/18723",9.74129135592198e-09,9.37834671092606e-06,7.77060626934332e-06,"23462/4884/26508/8609/7804/816/150465/6860/7345/3714/6469/11075/4744/1641/57556/10938/3798/482/27242/5396/81565/8437/23768/3371/50944/10152/5015/92211/4685/3670/9334/66008/204851/10512",34
"GO:0031175","neuron projection development","28/159","963/18723",9.9236011505223e-09,9.37834671092606e-06,7.77060626934332e-06,"4884/8609/7804/816/150465/6860/7345/6469/11075/4744/57556/10938/3798/482/27242/5396/81565/8437/23768/3371/50944/10152/5015/4685/3670/9334/66008/10512",28
"GO:0048699","generation of neurons","36/159","1514/18723",1.1331588537392e-08,9.37834671092606e-06,7.77060626934332e-06,"23462/4884/26508/8609/7804/816/150465/6860/7345/3714/1021/6469/11075/285313/4744/1641/57556/10938/3798/482/27242/5396/81565/8437/23768/3371/50944/10152/5015/92211/4685/3670/9334/66008/204851/10512",36
"GO:0048666","neuron development","30/159","1104/18723",1.26948855647053e-08,9.37834671092606e-06,7.77060626934332e-06,"4884/8609/7804/816/150465/6860/7345/6469/11075/4744/1641/57556/10938/3798/482/27242/5396/81565/8437/23768/3371/50944/10152/5015/92211/4685/3670/9334/66008/10512",30
"GO:0048667","cell morphogenesis involved in neuron differentiation","20/159","544/18723",3.84718359913757e-08,2.2736855070903e-05,1.88390506349347e-05,"4884/8609/7804/816/150465/7345/6469/4744/57556/3798/81565/23768/50944/10152/5015/92211/3670/9334/66008/10512",20
"GO:0048812","neuron projection morphogenesis","21/159","615/18723",6.02839646937222e-08,2.80141728596578e-05,2.32116719464116e-05,"4884/8609/7804/816/150465/6860/7345/6469/4744/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334/66008/10512",21
"GO:0022008","neurogenesis","36/159","1632/18723",7.71044969941165e-08,2.80141728596578e-05,2.32116719464116e-05,"23462/4884/26508/8609/7804/816/150465/6860/7345/3714/1021/6469/11075/285313/4744/1641/57556/10938/3798/482/27242/5396/81565/8437/23768/3371/50944/10152/5015/92211/4685/3670/9334/66008/204851/10512",36
"GO:0120039","plasma membrane bounded cell projection morphogenesis","21/159","630/18723",9.04923929259456e-08,2.80141728596578e-05,2.32116719464116e-05,"4884/8609/7804/816/150465/6860/7345/6469/4744/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334/66008/10512",21
"GO:0061564","axon development","18/159","467/18723",9.60714132010749e-08,2.80141728596578e-05,2.32116719464116e-05,"4884/8609/150465/7345/6469/4744/57556/3798/27242/81565/23768/3371/5015/4685/3670/9334/66008/10512",18
"GO:0048858","cell projection morphogenesis","21/159","634/18723",1.00632592126854e-07,2.80141728596578e-05,2.32116719464116e-05,"4884/8609/7804/816/150465/6860/7345/6469/4744/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334/66008/10512",21
"GO:0000904","cell morphogenesis involved in differentiation","22/159","694/18723",1.04282876973345e-07,2.80141728596578e-05,2.32116719464116e-05,"4884/8609/7804/816/8516/150465/7345/6469/4744/57556/3798/6781/81565/23768/50944/10152/5015/92211/3670/9334/66008/10512",22
"GO:0032990","cell part morphogenesis","21/159","652/18723",1.60590349975816e-07,3.95453736815447e-05,3.27660661441884e-05,"4884/8609/7804/816/150465/6860/7345/6469/4744/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334/66008/10512",21
"GO:0032989","cellular component morphogenesis","22/159","744/18723",3.43880763125252e-07,7.81667426950092e-05,6.47665307716061e-05,"4884/8609/7804/816/150465/6860/7345/6469/4744/84033/57556/3798/81565/8437/23768/50944/10152/5015/3670/9334/66008/10512",22
"GO:0050808","synapse organization","16/159","426/18723",7.28972074016493e-07,0.000153865177051338,0.00012748789805732,"7804/55638/816/9806/1821/7846/4744/9746/57633/8404/8497/23768/3371/50944/10152/2149",16
"GO:0000902","cell morphogenesis","25/159","988/18723",9.23191095238642e-07,0.000171966490600769,0.000142486083226428,"4884/8609/7804/816/8516/150465/6860/7345/6469/4744/57556/3798/6781/81565/8437/23768/50944/10152/5015/3988/92211/3670/9334/66008/10512",25
"GO:0042391","regulation of membrane potential","16/159","434/18723",9.31121438109073e-07,0.000171966490600769,0.000142486083226428,"9783/478/2899/3778/8912/610/775/482/3728/6648/50944/1143/2890/2563/1832/6262",16
"GO:0120036","plasma membrane bounded cell projection organization","31/159","1478/18723",2.17701055894411e-06,0.000355081897666789,0.00029420981172783,"4884/8609/7804/221178/816/478/150465/6860/7345/6469/11075/4744/1641/57556/10938/3798/482/27242/5396/81565/8437/23768/3371/50944/10152/5015/4685/3670/9334/66008/10512",31
"GO:0044057","regulation of system process","18/159","580/18723",2.23117568749135e-06,0.000355081897666789,0.00029420981172783,"4884/2982/816/478/3778/8912/775/482/27242/3728/6781/4885/50944/3670/5743/2149/1832/6262",18
"GO:0098911","regulation of ventricular cardiac muscle cell action potential","4/159","12/18723",2.35097712363959e-06,0.000355081897666789,0.00029420981172783,"775/3728/1832/6262",4
