"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048667","cell morphogenesis involved in neuron differentiation","13/78","544/18723",3.57177185200451e-07,0.000759001518550959,0.00060532133491866,"5015/92211/4744/3670/6091/66008/816/1000/4884/7804/23022/8609/23768",13
"GO:0000904","cell morphogenesis involved in differentiation","14/78","694/18723",9.23052764465341e-07,0.000980743562244424,0.000782165763573262,"5015/92211/4744/3670/6091/66008/816/1000/4884/7804/23022/8609/23768/2195",14
"GO:0072132","mesenchyme morphogenesis","5/78","52/18723",2.45739138201988e-06,0.00139093490584867,0.00110930288466445,"3670/6091/26508/7042/59",5
"GO:0048699","generation of neurons","20/78","1514/18723",2.61823041100926e-06,0.00139093490584867,0.00110930288466445,"5015/92211/27242/4744/3670/3714/6091/66008/816/26508/7042/1000/4884/7804/23022/8609/55636/10565/23768/1021",20
"GO:0061564","axon development","11/78","467/18723",3.56708973067845e-06,0.00151601313553834,0.00120905567713522,"5015/27242/4744/3670/6091/66008/1000/4884/23022/8609/23768",11
"GO:0022008","neurogenesis","20/78","1632/18723",8.16074528901291e-06,0.0016721671740936,0.00133359214875081,"5015/92211/27242/4744/3670/3714/6091/66008/816/26508/7042/1000/4884/7804/23022/8609/55636/10565/23768/1021",20
"GO:0048812","neuron projection morphogenesis","12/78","615/18723",8.49345132289211e-06,0.0016721671740936,0.00133359214875081,"5015/4744/3670/6091/66008/816/1000/4884/7804/23022/8609/23768",12
"GO:0007409","axonogenesis","10/78","418/18723",8.97698815800438e-06,0.0016721671740936,0.00133359214875081,"5015/4744/3670/6091/66008/1000/4884/23022/8609/23768",10
"GO:0060411","cardiac septum morphogenesis","5/78","68/18723",9.35740930899358e-06,0.0016721671740936,0.00133359214875081,"3670/6091/26508/7042/55636",5
"GO:0030182","neuron differentiation","18/78","1363/18723",9.37774831398227e-06,0.0016721671740936,0.00133359214875081,"5015/92211/27242/4744/3670/3714/6091/66008/816/26508/7042/1000/4884/7804/23022/8609/10565/23768",18
"GO:0048666","neuron development","16/78","1104/18723",1.03041500213163e-05,0.0016721671740936,0.00133359214875081,"5015/92211/27242/4744/3670/6091/66008/816/7042/1000/4884/7804/23022/8609/10565/23768",16
"GO:0120039","plasma membrane bounded cell projection morphogenesis","12/78","630/18723",1.08192257058439e-05,0.0016721671740936,0.00133359214875081,"5015/4744/3670/6091/66008/816/1000/4884/7804/23022/8609/23768",12
"GO:0032989","cellular component morphogenesis","13/78","744/18723",1.12559517752561e-05,0.0016721671740936,0.00133359214875081,"5015/4744/3670/6091/66008/816/1000/4884/7804/23022/8609/11214/23768",13
"GO:0048858","cell projection morphogenesis","12/78","634/18723",1.15268560987289e-05,0.0016721671740936,0.00133359214875081,"5015/4744/3670/6091/66008/816/1000/4884/7804/23022/8609/23768",12
"GO:0000902","cell morphogenesis","15/78","988/18723",1.18035329936019e-05,0.0016721671740936,0.00133359214875081,"5015/92211/4744/3670/6091/66008/816/7042/1000/4884/7804/23022/8609/23768/2195",15
"GO:0003203","endocardial cushion morphogenesis","4/78","36/18723",1.48350632639218e-05,0.00190482879047883,0.00151914519017754,"3670/6091/26508/7042",4
"GO:0032990","cell part morphogenesis","12/78","652/18723",1.52386303238306e-05,0.00190482879047883,0.00151914519017754,"5015/4744/3670/6091/66008/816/1000/4884/7804/23022/8609/23768",12
"GO:0003197","endocardial cushion development","4/78","45/18723",3.64727131703177e-05,0.004050349296861,0.00323024761260493,"3670/6091/26508/7042",4
"GO:0031175","neuron projection development","14/78","963/18723",3.88394900690191e-05,0.004050349296861,0.00323024761260493,"5015/27242/4744/3670/6091/66008/816/1000/4884/7804/23022/8609/10565/23768",14
"GO:0048729","tissue morphogenesis","11/78","610/18723",4.30513176446878e-05,0.004050349296861,0.00323024761260493,"3670/3714/6091/255743/26508/7042/8549/1909/59/55636/2195",11
"GO:0045747","positive regulation of Notch signaling pathway","4/78","47/18723",4.33875369621396e-05,0.004050349296861,0.00323024761260493,"4242/3714/6091/7042",4
"GO:0010647","positive regulation of cell communication","19/78","1681/18723",4.49400610882329e-05,0.004050349296861,0.00323024761260493,"2977/4242/3670/3714/6091/255743/2982/55765/7042/1030/1000/8549/9783/55638/11214/57181/10565/114882/55294",19
"GO:0003184","pulmonary valve morphogenesis","3/78","17/18723",4.53495453971669e-05,0.004050349296861,0.00323024761260493,"6091/26508/7042",3
"GO:0023056","positive regulation of signaling","19/78","1687/18723",4.71855623728328e-05,0.004050349296861,0.00323024761260493,"2977/4242/3670/3714/6091/255743/2982/55765/7042/1030/1000/8549/9783/55638/11214/57181/10565/114882/55294",19
"GO:0008593","regulation of Notch signaling pathway","5/78","95/18723",4.76511681983647e-05,0.004050349296861,0.00323024761260493,"4242/3714/6091/7042/55294",5
