"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","synapse organization","13/107","426/18723",9.50960224390702e-07,0.00225662861247914,0.001937956836232,"9806/816/8404/8497/57633/1821/9746/10152/50944/23768/3371/7846/2149",13
"GO:0044057","regulation of system process","14/107","580/18723",5.51381834374941e-06,0.00450652447483435,0.00387013169351667,"2982/816/3670/775/3778/4885/3728/478/50944/6781/9026/6262/5743/2149",14
"GO:0006937","regulation of muscle contraction","8/107","169/18723",5.69724965212939e-06,0.00450652447483435,0.00387013169351667,"2982/775/3778/3728/6781/6262/5743/2149",8
"GO:0000904","cell morphogenesis involved in differentiation","15/107","694/18723",9.37647614410089e-06,0.00480676132517932,0.00412797033537257,"8516/816/92211/57556/3670/7345/8609/3798/10152/50944/9334/6781/23768/81565/66008",15
"GO:0048667","cell morphogenesis involved in neuron differentiation","13/107","544/18723",1.3617414601135e-05,0.00480676132517932,0.00412797033537257,"816/92211/57556/3670/7345/8609/3798/10152/50944/9334/23768/81565/66008",13
"GO:0007267","cell-cell signaling","24/107","1641/18723",1.41675974993347e-05,0.00480676132517932,0.00412797033537257,"9783/2982/816/2899/6860/3670/23002/27230/775/1821/9746/8609/3798/9547/4885/2890/3728/50944/3371/2563/6262/23208/5743/2149",24
"GO:0090257","regulation of muscle system process","9/107","252/18723",1.43042378515688e-05,0.00480676132517932,0.00412797033537257,"2982/816/775/3778/3728/6781/6262/5743/2149",9
"GO:0030705","cytoskeleton-dependent intracellular transport","8/107","195/18723",1.62048422256361e-05,0.00480676132517932,0.00412797033537257,"283234/6860/7345/3798/7846/26985/81565/66008",8
"GO:0099536","synaptic signaling","15/107","748/18723",2.26187301919387e-05,0.00596380519394117,0.00512162124580039,"9783/2982/816/2899/6860/1821/9746/3798/4885/2890/50944/2563/23208/5743/2149",15
"GO:0098930","axonal transport","5/107","64/18723",3.23585995975342e-05,0.00624782164767794,0.0053655300684918,"7345/3798/26985/81565/66008",5
"GO:0048699","generation of neurons","22/107","1514/18723",3.8452377127086e-05,0.00624782164767794,0.0053655300684918,"1021/23462/816/92211/6860/3714/57556/3670/285313/11075/7345/8609/1641/3798/4685/10152/50944/9334/23768/3371/81565/66008",22
"GO:0098911","regulation of ventricular cardiac muscle cell action potential","3/107","12/18723",3.84538951683911e-05,0.00624782164767794,0.0053655300684918,"775/3728/6262",3
"GO:0042391","regulation of membrane potential","11/107","434/18723",3.84539071509971e-05,0.00624782164767794,0.0053655300684918,"9783/2899/6648/775/3778/2890/3728/478/50944/2563/6262",11
"GO:0034330","cell junction organization","14/107","694/18723",4.0744538694218e-05,0.00624782164767794,0.0053655300684918,"9806/816/8404/8497/57633/1821/9746/3728/10152/50944/23768/3371/7846/2149",14
"GO:0086004","regulation of cardiac muscle cell contraction","4/107","34/18723",4.09715687616293e-05,0.00624782164767794,0.0053655300684918,"775/3728/6781/6262",4
"GO:0000902","cell morphogenesis","17/107","988/18723",4.33213651691848e-05,0.00624782164767794,0.0053655300684918,"8516/816/92211/6860/57556/3670/7345/8609/3798/10152/50944/9334/3988/6781/23768/81565/66008",17
"GO:0050805","negative regulation of synaptic transmission","5/107","69/18723",4.66290999281916e-05,0.00624782164767794,0.0053655300684918,"2899/6860/2890/23208/5743",5
"GO:0048812","neuron projection morphogenesis","13/107","615/18723",4.87648630820364e-05,0.00624782164767794,0.0053655300684918,"816/6860/57556/3670/7345/8609/3798/10152/50944/9334/23768/81565/66008",13
"GO:0048666","neuron development","18/107","1104/18723",5.07741021153081e-05,0.00624782164767794,0.0053655300684918,"816/92211/6860/57556/3670/11075/7345/8609/1641/3798/4685/10152/50944/9334/23768/3371/81565/66008",18
"GO:0007268","chemical synaptic transmission","14/107","716/18723",5.70717287684083e-05,0.00624782164767794,0.0053655300684918,"9783/2982/816/2899/6860/9746/3798/4885/2890/50944/2563/23208/5743/2149",14
"GO:0098916","anterograde trans-synaptic signaling","14/107","716/18723",5.70717287684083e-05,0.00624782164767794,0.0053655300684918,"9783/2982/816/2899/6860/9746/3798/4885/2890/50944/2563/23208/5743/2149",14
"GO:0099518","vesicle cytoskeletal trafficking","5/107","73/18723",6.12022705214426e-05,0.00624782164767794,0.0053655300684918,"6860/3798/26985/81565/66008",5
"GO:0120039","plasma membrane bounded cell projection morphogenesis","13/107","630/18723",6.23233424066792e-05,0.00624782164767794,0.0053655300684918,"816/6860/57556/3670/7345/8609/3798/10152/50944/9334/23768/81565/66008",13
"GO:0099537","trans-synaptic signaling","14/107","724/18723",6.42934132096789e-05,0.00624782164767794,0.0053655300684918,"9783/2982/816/2899/6860/9746/3798/4885/2890/50944/2563/23208/5743/2149",14
"GO:0048858","cell projection morphogenesis","13/107","634/18723",6.64513409161842e-05,0.00624782164767794,0.0053655300684918,"816/6860/57556/3670/7345/8609/3798/10152/50944/9334/23768/81565/66008",13
"GO:0008088","axo-dendritic transport","5/107","75/18723",6.96922350805083e-05,0.00624782164767794,0.0053655300684918,"7345/3798/26985/81565/66008",5
"GO:1903115","regulation of actin filament-based movement","4/107","39/18723",7.1087730504553e-05,0.00624782164767794,0.0053655300684918,"775/3728/6781/6262",4
"GO:0061564","axon development","11/107","467/18723",7.43251633226344e-05,0.00629905759159327,0.00540953068393309,"57556/3670/7345/8609/3798/4685/9334/23768/3371/81565/66008",11
"GO:0045986","negative regulation of smooth muscle contraction","3/107","15/18723",7.85420059568192e-05,0.00637531022431411,0.00547501523466725,"2982/3778/5743",3
"GO:0030182","neuron differentiation","20/107","1363/18723",8.05981065020748e-05,0.00637531022431411,0.00547501523466725,"23462/816/92211/6860/3714/57556/3670/11075/7345/8609/1641/3798/4685/10152/50944/9334/23768/3371/81565/66008",20
"GO:0032990","cell part morphogenesis","13/107","652/18723",8.81137497338666e-05,0.00674496542317631,0.00579246925245385,"816/6860/57556/3670/7345/8609/3798/10152/50944/9334/23768/81565/66008",13
"GO:2001222","regulation of neuron migration","4/107","42/18723",9.54732807071933e-05,0.0070799404724428,0.00608014050819494,"816/57556/285313/23768",4
"GO:1903522","regulation of blood circulation","8/107","256/18723",0.000111200034197437,0.00782951247674463,0.00672386104862937,"3670/775/3728/478/6781/6262/5743/2149",8
"GO:0031175","neuron projection development","16/107","963/18723",0.000112180119767938,0.00782951247674463,0.00672386104862937,"816/6860/57556/3670/11075/7345/8609/3798/4685/10152/50944/9334/23768/3371/81565/66008",16
"GO:0022008","neurogenesis","22/107","1632/18723",0.000117273410354285,0.0079511372220205,0.00682831044950061,"1021/23462/816/92211/6860/3714/57556/3670/285313/11075/7345/8609/1641/3798/4685/10152/50944/9334/23768/3371/81565/66008",22
"GO:0072384","organelle transport along microtubule","5/107","85/18723",0.000126595787177756,0.00834477230480042,0.00716635801099812,"7345/3798/26985/81565/66008",5
"GO:0047496","vesicle transport along microtubule","4/107","47/18723",0.000148840273500021,0.00954589105447435,0.00819785972961711,"3798/26985/81565/66008",4
"GO:0008015","blood circulation","11/107","512/18723",0.000166973144413532,0.0104270334656134,0.00895457084721877,"2982/3670/6648/775/3778/3728/478/6781/6262/5743/2149",11
"GO:0090066","regulation of anatomical structure size","11/107","518/18723",0.000184720129906158,0.0112395094427516,0.0096523123211423,"163782/2982/6711/57556/6648/3778/10152/9026/81565/5743/2149",11
"GO:0051270","regulation of cellular component movement","17/107","1116/18723",0.000191171435078863,0.0113412453860536,0.00973968153454418,"1021/9806/3910/816/3486/57556/6648/285313/775/3728/2768/6781/23768/2549/6262/5743/2149",17
"GO:0050804","modulation of chemical synaptic transmission","10/107","439/18723",0.000209889707277139,0.0118305353266918,0.0101598759697808,"9783/816/2899/6860/9746/4885/2890/50944/23208/5743",10
"GO:0099177","regulation of trans-synaptic signaling","10/107","440/18723",0.000213758140601938,0.0118305353266918,0.0101598759697808,"9783/816/2899/6860/9746/4885/2890/50944/23208/5743",10
"GO:0051592","response to calcium ion","6/107","149/18723",0.000214375482110301,0.0118305353266918,0.0101598759697808,"10628/6860/10105/3778/6262/23208",6
"GO:0061337","cardiac conduction","5/107","98/18723",0.000247155064712689,0.0133295220128003,0.0114471819445877,"3670/775/3728/478/6262",5
"GO:0001764","neuron migration","6/107","156/18723",0.000274688959107865,0.0144852644436214,0.0124397152007679,"816/57556/285313/1641/23768/81565",6
"GO:0045932","negative regulation of muscle contraction","3/107","23/18723",0.000295703312488193,0.0152544339246626,0.013100265743184,"2982/3778/5743",3
"GO:0032989","cellular component morphogenesis","13/107","744/18723",0.000321722812343953,0.0159672670433532,0.013712435511758,"816/6860/57556/3670/7345/8609/3798/10152/50944/9334/23768/81565/66008",13
"GO:0051650","establishment of vesicle localization","6/107","161/18723",0.00032538609168895,0.0159672670433532,0.013712435511758,"6860/3798/26985/23208/81565/66008",6
"GO:0040011","locomotion","23/107","1878/18723",0.000329707579066289,0.0159672670433532,0.013712435511758,"1021/9806/3910/816/7857/3486/57556/3670/6648/285313/8609/1641/3798/9547/3728/10152/2768/6781/23768/2549/81565/5743/2149",23
"GO:0086065","cell communication involved in cardiac conduction","4/107","58/18723",0.000337383951742871,0.0160122423497166,0.0137510595910357,"775/3728/478/6262",4
"GO:0086064","cell communication by electrical coupling involved in cardiac conduction","3/107","25/18723",0.00038085232748589,0.0177208347671376,0.0152183716411287,"775/478/6262",3
"GO:0040012","regulation of locomotion","16/107","1082/18723",0.00041822716323821,0.0190856357377745,0.0163904410532222,"1021/9806/3910/816/7857/3486/57556/6648/285313/3728/2768/6781/23768/2549/5743/2149",16
"GO:0032970","regulation of actin filament-based process","9/107","397/18723",0.00045520149834126,0.0203810029351662,0.0175028818428735,"163782/6711/775/3728/10152/50944/6781/9026/6262",9
"GO:0098901","regulation of cardiac muscle cell action potential","3/107","27/18723",0.000480338683596085,0.0211082165958057,0.018127401392632,"775/3728/6262",3
"GO:0006940","regulation of smooth muscle contraction","4/107","64/18723",0.000492166456396716,0.021234745473262,0.0182360623843836,"2982/3778/5743/2149",4
"GO:0046513","ceramide biosynthetic process","4/107","65/18723",0.000522151352151379,0.0220286044976873,0.018917815914797,"81849/9334/427/9517",4
"GO:0010575","positive regulation of vascular endothelial growth factor production","3/107","28/18723",0.000535750650739932,0.0220286044976873,0.018917815914797,"3670/405/5743",3
"GO:0051648","vesicle localization","6/107","177/18723",0.00053841511203787,0.0220286044976873,0.018917815914797,"6860/3798/26985/23208/81565/66008",6
"GO:0051129","negative regulation of cellular component organization","12/107","687/18723",0.000554680670469887,0.0223094445936448,0.0191589969318412,"163782/6860/10105/6711/57556/3670/11075/50944/9026/124930/23208/66008",12
"GO:0048870","cell motility","21/107","1710/18723",0.000606671244561439,0.0235098276103818,0.0201898668146912,"1021/9806/3910/816/7857/3486/57556/3670/6648/285313/1641/9547/3728/10152/2768/6781/23768/2549/81565/5743/2149",21
"GO:0051674","localization of cell","21/107","1710/18723",0.000606671244561439,0.0235098276103818,0.0201898668146912,"1021/9806/3910/816/7857/3486/57556/3670/6648/285313/1641/9547/3728/10152/2768/6781/23768/2549/81565/5743/2149",21
"GO:0003013","circulatory system process","11/107","597/18723",0.000614247497616381,0.0235098276103818,0.0201898668146912,"2982/3670/6648/775/3778/3728/478/6781/6262/5743/2149",11
"GO:0007409","axonogenesis","9/107","418/18723",0.000658793714772771,0.024814563256441,0.0213103530793665,"57556/3670/7345/8609/3798/9334/23768/81565/66008",9
"GO:0010644","cell communication by electrical coupling","3/107","32/18723",0.000797798860049452,0.0295808858577711,0.025403595280522,"775/478/6262",3
"GO:0086003","cardiac muscle cell contraction","4/107","73/18723",0.000810588011147104,0.0295926976992627,0.025413739102523,"775/3728/6781/6262",4
