run	nodes	geneid	community
1	725	PTTG1IP	1
1	725	NOM1	3
1	725	BCL2L1	3
1	725	HMOX1	1
1	725	TMTC3	2
1	725	DCP1B	3
1	725	NCOA4	1
1	725	RPN2	1
1	725	ARAP1	2
1	725	TYMS	2
1	725	GLRX	1
1	725	CDH13	2
1	725	TCEA3	2
1	725	CEP250	1
1	725	GABARAPL1	1
1	725	LRRC59	1
1	725	FAM171B	2
1	725	ZNF385A	3
1	725	H3Y1	2
1	725	RRAD	3
1	725	MTHFD2	1
1	725	MGAT4B	1
1	725	CYGB	1
1	725	CPM	1
1	725	NACC2	1
1	725	NID1	1
1	725	SFRP1	2
1	725	TNFRSF10C	3
1	725	ITPRIPL2	1
1	725	ACTN1	1
1	725	DPP4	1
1	725	PADI2	1
1	725	CCDC88B	2
1	725	NTF4	2
1	725	CBFA2T2	1
1	725	SPATA18	2
1	725	TRIAP1	2
1	725	ZSCAN4	2
1	725	PRKCD	1
1	725	SBF2	3
1	725	AXL	1
1	725	KCNN3	3
1	725	GNS	1
1	725	NR4A1	1
1	725	PLK3	1
1	725	FSD1	1
1	725	DOCK11	1
1	725	LINC02334	2
1	725	KCNE4	2
1	725	SERTAD2	1
1	725	ACER2	2
1	725	ACLY	1
1	725	RAP1GDS1	1
1	725	SCIN	2
1	725	LINC02303	3
1	725	ACBD6	1
1	725	CYP4F3	2
1	725	CLIC6	2
1	725	RSAD2	2
1	725	LAMP1	1
1	725	IGDCC3	3
1	725	PIDD1	3
1	725	TNKS2	1
1	725	PHLDA3	2
1	725	TMEM35A	1
1	725	FAM90A27P	2
1	725	RB1	1
1	725	CDHR1	1
1	725	TAFA2	2
1	725	AEN	1
1	725	CYP4F2	3
1	725	LMO7	2
1	725	INPP5D	2
1	725	CLCA2	2
1	725	SLC34A2	2
1	725	SLC4A11	3
1	725	RETSAT	1
1	725	COL15A1	2
1	725	NECTIN4	2
1	725	OTX2	2
1	725	TOB1	2
1	725	ISCU	3
1	725	CEP85L	2
1	725	TP53I3	2
1	725	CDKN1A	2
1	725	KLK4	3
1	725	PRKY	2
1	725	CEBPA	1
1	725	GPC1	1
1	725	TMEM131	2
1	725	PGAP6	1
1	725	MIR34AHG	2
1	725	RGS16	3
1	725	PURPL	2
1	725	ABCA12	2
1	725	OSBPL3	2
1	725	KLRF2	2
1	725	THBS1	2
1	725	SLC12A4	2
1	725	PRKX	3
1	725	F5	2
1	725	CD164	1
1	725	ASCC3	2
1	725	SNAP47	3
1	725	RRM2B	2
1	725	NSD1	2
1	725	SYN2	3
1	725	ANTXR2	1
1	725	E2F3	1
1	725	CASZ1	3
1	725	BBC3	2
1	725	DESI2	2
1	725	LIG1	2
1	725	HEYL	3
1	725	REV3L	2
1	725	SEPTIN11	2
1	725	RAB15	2
1	725	SCN4B	3
1	725	SDC1	2
1	725	IQGAP1	1
1	725	PGPEP1	1
1	725	ITGB1	1
1	725	ITGA8	2
1	725	TRIM43B	2
1	725	MAP4K4	1
1	725	GAMT	2
1	725	WASF2	1
1	725	CNN3	1
1	725	RASSF3	1
1	725	SESN1	3
1	725	FOSL1	1
1	725	NEURL1B	1
1	725	TP53	2
1	725	POLH	2
1	725	ZMAT3	2
1	725	KPNA1	2
1	725	TNFRSF10A	3
1	725	FAM198B-AS1	2
1	725	PYHIN1	3
1	725	HCN2	2
1	725	CERS5	2
1	725	ATP5MC3	1
1	725	MDM2	2
1	725	HHAT	2
1	725	TMEM144	2
1	725	TYMSOS	3
1	725	NEFH	3
1	725	GADD45A	1
1	725	DRAM1	2
1	725	ISL1	3
1	725	ZNF195	2
1	725	POR	1
1	725	ASAP1	1
1	725	KITLG	2
1	725	ADAM19	1
1	725	LYNX1	2
1	725	LIMK2	3
1	725	INHBA	3
1	725	F11R	2
1	725	TRIM43	2
1	725	SLC16A10	2
1	725	RPS27L	2
1	725	ANKRD45	2
1	725	PAPPA	2
1	725	TNFRSF10B	2
1	725	TENT5A	1
1	725	DDB2	2
1	725	CHP1	1
1	725	CMBL	2
1	725	PSTPIP2	1
1	725	APOBEC3C	2
1	725	PHLDB3	1
1	725	EDA2R	2
1	725	INKA2	1
1	725	TNFRSF11A	2
1	725	TRIM49	3
1	725	TRIM24	3
1	725	NHLH2	2
1	725	EPHA2	2
1	725	CROT	2
