run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
9	239	ZHX1	0.029411764705882353	0.008509733007126902	0.029411764705882353	0.0385951849094068	1	59	17.0	62.0	1.0	5.0
9	239	ZNF395	0.008403361344537815	0.00035457220863028757	0.012605042016806723	0.004006665957522249	2	49	112.0	118.0	23.0	27.0
9	239	ARNT	0.01680672268907563	3.5457220863028756e-05	0.01680672268907563	0.007233273056057866	1	59	93.0	97.0	36.0	18.0
9	230	DLX3	0.074235807860262	0.0017237416685819352	0.08296943231441048	0.04113996782348885	4	32	14.0	6.0	3.0	2.0
9	230	NR1D1	0.026200873362445413	0.0012449245384202866	0.03930131004366812	0.03319160346280549	4	32	21.0	42.0	4.0	8.0
9	230	ZNF510	0.008733624454148471	0.0005554278709875125	0.017467248908296942	0.01857810465027197	2	41	52.0	87.0	17.0	24.0
9	230	ZHX1	0.026200873362445413	0.007641921397379913	0.03056768558951965	0.058607216731785795	1	46	8.0	57.0	1.0	7.0
9	230	ZNF395	0.008733624454148471	5.7458055619397845e-05	0.008733624454148471	0.0007469547230521719	3	37	130.0	139.0	20.0	19.0
9	230	ARNT	0.013100436681222707	0.00017237416685819354	0.013100436681222707	0.010265839270665747	1	46	81.0	106.0	25.0	17.0
9	218	DLX3	0.08294930875576037	0.004053592763270183	0.08755760368663594	0.04377880184331798	3	35	17.0	6.0	2.0	2.0
9	218	NR1D1	0.027649769585253454	0.001578767707799966	0.041474654377880185	0.034882232462877624	3	35	23.0	38.0	5.0	9.0
9	218	ZNF510	0.018433179723502304	0.0031788701143539854	0.018433179723502304	0.018091824543437447	0	53	53.0	83.0	8.0	12.0
9	218	ZHX1	0.027649769585253454	0.011904761904761906	0.027649769585253454	0.054872845195425846	0	53	9.0	62.0	1.0	5.0
9	218	ZNF395	0.009216589861751152	0.00012800819252432156	0.009216589861751152	0.0011947431302270013	4	35	125.0	132.0	16.0	17.0
9	218	ARNT	0.013824884792626727	0.00021334698754053595	0.013824884792626727	0.008363201911589008	0	53	82.0	97.0	27.0	17.0
9	209	DLX3	0.08173076923076923	0.0026012634708286885	0.09134615384615385	0.06324321813452248	4	28	7.0	5.0	2.0	2.0
9	209	NR1D1	0.019230769230769232	0.0005806391675956894	0.038461538461538464	0.03781122259383129	4	28	21.0	39.0	9.0	12.0
9	209	ZNF510	0.019230769230769232	0.004366406540319584	0.019230769230769232	0.02538554440728354	0	48	34.0	76.0	5.0	10.0
9	209	ZHX1	0.02403846153846154	0.012100520252694166	0.02403846153846154	0.07062894834633965	0	48	6.0	65.0	2.0	5.0
9	209	ZNF395	0.009615384615384616	0.00016257896692679303	0.009615384615384616	0.0016490152359717577	3	40	111.0	120.0	16.0	22.0
9	209	ARNT	0.009615384615384616	0.00023225566703827575	0.009615384615384616	0.007710888145670755	0	48	77.0	120.0	22.0	21.0
9	204	DLX3	0.07389162561576355	0.003462907867141394	0.07881773399014778	0.038530946690728186	4	32	21.0	6.0	2.0	2.0
9	204	NR1D1	0.019704433497536946	0.0007072135785007072	0.029556650246305417	0.026703409257181877	4	32	30.0	50.0	10.0	13.0
9	204	ZNF510	0.019704433497536946	0.004194508120762815	0.019704433497536946	0.023972101643661904	0	43	33.0	72.0	4.0	7.0
9	204	ZHX1	0.019704433497536946	0.008949909769302053	0.019704433497536946	0.07428181241769498	0	43	10.0	72.0	2.0	7.0
9	204	ZNF395	0.0049261083743842365	0.00012193337560357022	0.0049261083743842365	0.0026581475881578306	2	35	94.0	153.0	17.0	26.0
9	204	ARNT	0.009852216748768473	0.0	0.009852216748768473	0.008852363068819197	0	43	75.0	109.0	43.0	19.0
9	189	DLX3	0.07446808510638298	0.0030720218454886794	0.07446808510638298	0.027477528729093186	3	27	31.0	7.0	2.0	2.0
9	189	NR1D1	0.02127659574468085	0.0008248947548071453	0.026595744680851064	0.028245534190465355	3	27	28.0	51.0	7.0	11.0
9	189	ZNF510	0.010638297872340425	0.0007964501080896575	0.02127659574468085	0.01683923085675276	4	25	52.0	66.0	3.0	12.0
9	189	ZHX1	0.010638297872340425	0.0019342359767891683	0.02127659574468085	0.09287177153259757	5	24	6.0	66.0	2.0	12.0
9	189	ZNF395	0.005319148936170213	0.00014222323358743886	0.005319148936170213	0.004096029127318239	0	32	85.0	146.0	17.0	25.0
9	189	ARNT	0.005319148936170213	0.0001706678803049266	0.005319148936170213	0.0016497895096142907	6	12	96.0	146.0	4.0	8.0
9	185	DLX3	0.06521739130434782	0.0021382751247327157	0.06521739130434782	0.028421240199572345	4	26	26.0	8.0	3.0	2.0
9	185	NR1D1	0.021739130434782608	0.0012176288904727963	0.021739130434782608	0.020788785934901403	4	26	38.0	56.0	5.0	9.0
9	185	ZNF510	0.016304347826086956	0.0014255167498218105	0.016304347826086956	0.008968876217628891	1	30	64.0	77.0	2.0	8.0
9	185	ZHX1	0.016304347826086956	0.0001781895937277263	0.016304347826086956	0.09001544309812307	1	30	9.0	77.0	11.0	8.0
9	185	ZNF395	0.005434782608695652	0.0	0.005434782608695652	0.0	0	32	185.0	142.0	32.0	26.0
9	185	ARNT	0.005434782608695652	0.0001781895937277263	0.005434782608695652	0.003949869327631267	7	12	86.0	142.0	4.0	8.0
9	180	DLX3	0.06145251396648045	0.002291130500282468	0.06145251396648045	0.016320381645847717	3	25	43.0	8.0	2.0	2.0
9	180	NR1D1	0.0223463687150838	0.0011926432741196408	0.0223463687150838	0.03549683007971878	3	25	17.0	52.0	6.0	9.0
9	180	ZNF510	0.0111731843575419	6.277069863787583e-05	0.0111731843575419	0.005869060322641391	7	8	72.0	96.0	1.0	2.0
9	180	ZHX1	0.0111731843575419	0.0008787897809302617	0.01675977653631285	0.0050216558910300664	4	22	76.0	72.0	5.0	11.0
9	180	ZNF395	0.00558659217877095	0.0	0.00558659217877095	0.0	2	30	180.0	135.0	30.0	25.0
9	180	ARNT	0.00558659217877095	0.0001883120959136275	0.00558659217877095	0.0034210030757642327	6	13	82.0	135.0	4.0	8.0
9	173	DLX3	0.06395348837209303	0.00346797225622195	0.06395348837209303	0.04079967360261118	3	25	22.0	6.0	2.0	1.0
9	173	NR1D1	0.023255813953488372	0.0014959880320957433	0.023255813953488372	0.07129742962056304	3	25	7.0	44.0	5.0	9.0
