treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
AMn	1	0.448	positive	402	1320	1.2321551254196876	249	1.8264388393334428	2.0	50.25398400844962	0.0007181310739075824	-9.708873186765032	0.0015360026529593744	
AMn	1	0.45	positive	400	1295	1.203866604089549	249	2.0412958368325853	4.0	17.488637828884688	0.032394151662908814	-3.4493985097488933	0.06234576267808871	
AMn	1	0.452	positive	394	1261	1.3330463210581076	246	2.0458465532689596	4.0	17.19038126636089	0.0339543317585187	-3.2033616877531856	0.07373246381593836	
AMn	1	0.454	positive	387	1237	1.1871397638270034	244	2.051818220739155	4.0	17.223338261730955	0.031543224753753575	-3.057368330685767	0.07857039504974692	
AMn	1	0.456	positive	384	1203	1.2277008159968685	243	2.0516434655292137	4.0	15.804844034907873	0.04317875840770413	-3.1026683029134023	0.07759627684805398	
AMn	1	0.458	positive	378	1175	1.1657125770425665	243	2.0685576730828275	4.0	17.19153313784431	0.0285267077285326	-2.4695670634986926	0.11484451298071859	
AMn	1	0.46	positive	375	1153	1.2742525754152685	242	2.074466157109436	4.0	17.138561483539206	0.02644518405120986	-2.352250543098811	0.12093705620590879	
AMn	1	0.462	positive	371	1128	1.2158137094601185	239	2.0837344037133385	4.0	17.14407525955149	0.02401443639855601	-2.158436768273916	0.13410431841860107	
AMn	1	0.464	positive	367	1096	1.2077894417570803	236	2.091052884337465	4.0	16.32892052908085	0.026354044423372323	-2.107751576508015	0.1351386058392727	
AMn	1	0.466	positive	363	1078	1.3112068870083302	234	2.076332398412341	4.0	13.53825498215173	0.05644461706442197	-2.6366120647596394	0.09971622313271955	
AMn	1	0.468	positive	360	1050	1.1705517207010832	231	2.0736441832652086	4.0	11.47419851668663	0.0921706603610826	-2.937424536136019	0.08138498794808663	
AMn	1	0.47000000000000003	positive	353	1022	0.9901327232294095	224	1.9843955435714635	3.0	18.99099361978891	0.02509243512124824	-4.432647221879642	0.02766517870999311	
AMn	1	0.47200000000000003	positive	351	1000	1.1725595960105915	223	1.9829201558601939	3.0	17.36993015393601	0.03552695316643244	-4.565081086640436	0.025569850502960657	
AMn	1	0.47400000000000003	positive	346	981	1.2230636145108074	216	1.9957159870762862	3.0	17.8005208202199	0.029660168847615877	-4.3463778083940285	0.028405361119282914	
AMn	1	0.47600000000000003	positive	339	957	1.2231688776412661	210	2.0003916936153985	3.0	17.082857599985697	0.03180490156536974	-4.213734470615203	0.02965235684958244	
AMn	1	0.47800000000000004	positive	337	935	1.2099211712439941	210	1.9990443965305706	3.0	15.240627762032975	0.05014112359249511	-4.4775014536641295	0.025515108590575465	
AMn	1	0.48000000000000004	positive	333	916	1.214908632619494	210	1.8795038120662237	2.0	32.65854859079039	0.0035493680363954897	-6.894862028492748	0.004793859492003855	
AMn	1	0.48200000000000004	positive	329	887	1.1662020852182033	213	1.878830690155261	2.0	29.818401474857765	0.006149878799528612	-6.971070424309656	0.004697380169953109	
AMn	1	0.48400000000000004	positive	325	871	1.328472643006496	209	1.875304283562093	2.0	26.960268314694325	0.011958866795297911	-7.335735345468067	0.004246622185016403	
AMn	1	0.48600000000000004	positive	323	849	1.3414103516066258	207	1.879748051044236	2.0	25.104924832476367	0.015787471597336587	-7.3617349929524725	0.004049572683618397	
AMn	1	0.48800000000000004	positive	318	819	1.1841527450058595	199	1.8913294554324698	2.0	26.482152330000183	0.008665791941265787	-6.295966486311533	0.005884857812406883	
AMn	1	0.49	positive	315	803	1.2866289048446904	197	1.891134720325033	2.0	25.143680929326678	0.010938465883352861	-6.254281480507635	0.00602422113217513	
AMn	1	0.492	positive	279	696	1.2168022404253815	190	1.8820515631598873	2.0	22.73181754067191	0.010292912234569468	-5.034957232471615	0.011536594406673673	
AMn	1	0.494	positive	275	675	1.1938317983519149	188	1.8946314565313656	2.0	23.398207215113445	0.007627856547320762	-4.454017225724865	0.015300046287610338	
AMn	1	0.496	positive	236	578	1.1788600479020457	161	1.8943150703155471	2.0	24.64002613857372	0.0015854517754767623	-2.565162239111822	0.0385030206897496	
AMn	1	0.498	positive	233	566	1.0545480991793947	158	1.8922251745254317	2.0	23.12830393388988	0.0022562169803082245	-2.6422340725728546	0.036967322728387195	
AMn	1	0.5	positive	232	553	1.1663816764030557	157	1.8987230043631664	2.0	22.88457368412979	0.002295999933153748	-2.48895844446487	0.040292152606982504	
AMn	1	0.502	positive	229	540	1.3176926109807494	156	1.9064803142741045	2.0	23.277153985324794	0.0018910884534878306	-2.2303890420275048	0.04579336171608555	
AMn	1	0.504	positive	229	525	1.0284222850282256	156	1.9004142404456226	2.0	20.755954309080234	0.005082818528734872	-2.3872786329723894	0.04689350106062809	
AMn	1	0.506	positive	229	520	1.323514936101332	156	1.9014543602271736	2.0	20.26980695944897	0.005738054344332087	-2.3763747962150674	0.04700270280297064	
AMn	1	0.508	positive	226	510	1.1966681741561485	154	1.9021723331845044	2.0	19.38438080198142	0.007269385606978868	-2.3990321300433717	0.046833194906641853	
AMn	1	0.51	positive	224	497	1.138465472433218	157	1.8822919433108083	2.0	14.90262777399012	0.0324927630872507	-3.0640761986360268	0.037525139310382136	
AMn	1	0.512	positive	220	489	1.4139875486248161	157	1.872291468752226	2.0	12.770371317003093	0.059356331506880425	-3.4521283770506574	0.03116416259201572	
AMn	1	0.514	positive	216	474	1.449980775749689	152	1.8741316073809302	2.0	11.799513288387805	0.07576690953950158	-3.4535885454096853	0.03211050656430194	
AMn	1	0.516	positive	215	465	1.307312339885284	152	1.8553429998945503	2.0	8.479934471884008	0.1837932403679835	-4.182856047309252	0.022018518997441394	
AMn	1	0.518	positive	214	456	1.1795745201502057	152	1.858959342076673	2.0	8.644093255120186	0.17085183600700182	-3.9402070052755507	0.02534566029972258	
AMn	1	0.52	positive	209	439	1.1641344191676648	148	1.866851161755613	2.0	7.850100887086377	0.20310029920753725	-3.9749973845403392	0.024776516758344847	
AMn	1	0.522	positive	205	427	1.1486064832987959	146	1.8584948822615561	2.0	6.23362645331137	0.30130923905217943	-4.107089396986967	0.024876110102226654	
AMn	1	0.524	positive	201	416	1.2754877500490756	144	1.6743930204842545	1.0	44.4655320196581	6.36496223144635e-05	-7.139460723239482	4.270953381558291e-06	
AMn	1	0.526	positive	195	403	1.0540437021280067	138	1.6704210196230624	1.0	39.77875920732744	0.0002698893520662313	-7.519411660867198	7.100390659241998e-06	
AMn	1	0.528	positive	190	388	1.144306576935949	136	1.6729189193352654	1.0	38.01982288482628	0.0002953447474688722	-7.312368794916241	7.21454253075605e-06	
AMn	1	0.53	positive	186	379	1.1216050332051732	131	1.670743362091895	1.0	35.16294051198102	0.0006472425067345204	-7.500724870254673	8.603288331193174e-06	
AMn	1	0.532	positive	180	368	1.4885758003847787	123	1.6650610082825141	1.0	30.66641529023542	0.0019670774114781777	-7.808532636150595	7.237971742122328e-06	
AMn	1	0.534	positive	178	359	1.380773564901581	123	1.8876162786354862	2.0	5.1434483833769855	0.3567625123592547	-3.2906041558152146	0.043045171896627876	
AMn	1	0.536	positive	173	347	1.0827027682489425	119	1.9139201045624084	2.0	7.303892749448427	0.1938461039501883	-2.4943851100647882	0.061786910463231974	
