run	nodes	geneid	community
1	543	GNG5	1
1	543	FBLIM1	1
1	543	GNB3	3
1	543	PTTG1IP	1
1	543	NPNT	3
1	543	TENT5A	1
1	543	CAMK2B	3
1	543	DOCK11	1
1	543	SLC36A1	3
1	543	MYH9	1
1	543	GUCY1A1	3
1	543	HEYL	3
1	543	DGKH	3
1	543	FBXL16	3
1	543	ANTXR2	1
1	543	VAV2	1
1	543	RBMS1	1
1	543	TRIB2	3
1	543	SYN2	3
1	543	PPP2R1B	1
1	543	INAVA	3
1	543	GLRX	1
1	543	TGFB2	3
1	543	GAB1	3
1	543	ADAMTS7	1
1	543	SLAIN1	3
1	543	SGPL1	1
1	543	CDKN2B	3
1	543	ZNF611	1
1	543	CHSY1	1
1	543	LDLR	1
1	543	EPS8L2	3
1	543	CDH2	3
1	543	PCNX1	1
1	543	GDPD5	3
1	543	LGR5	3
1	543	AP3M1	1
1	543	RHOA	1
1	543	BTN2A1	1
1	543	ITGB1	1
1	543	PCSK1	3
1	543	ANKRD65	3
1	543	PRKCD	1
1	543	CDC42SE1	1
1	543	CLCN5	3
1	543	NPTX1	3
1	543	IGFBPL1	3
1	543	CNN3	1
1	543	TUBB4B	3
1	543	DSP	1
1	543	ST18	3
1	543	PEG10	3
1	543	LRP8	3
1	543	RIMS3	3
1	543	VGLL4	1
1	543	PALLD	3
1	543	KLF7	3
1	543	BVES	1
1	543	DDX3X	1
1	543	FAM167A	1
1	543	SYBU	3
1	543	TXNRD1	1
1	543	ACTA2	3
1	543	AKAP13	3
1	543	CEMIP2	1
1	543	PENK	1
1	543	HEY1	1
1	543	OXSR1	1
1	543	SPATS2L	1
1	543	ZNF217	1
1	543	IGF2BP2	3
1	543	NRBP1	1
1	543	LRRC8D	3
1	543	SNHG1	1
1	543	CXCL1	1
1	543	ATP5MC3	3
1	543	PFKFB3	1
1	543	GRB2	1
1	543	NARF	3
1	543	KANK4	3
1	543	FADS1	3
1	543	SNX18	3
1	543	CHD7	3
1	543	ACLY	1
1	543	CDC42EP3	1
1	543	DAZL	1
1	543	MAFG	1
1	543	LAMP2	1
1	543	SLC39A10	3
1	543	PSME4	1
1	543	GRB7	3
1	543	ZC3H12C	3
1	543	SDCBP	1
1	543	E2F3	3
1	543	HMOX1	1
1	543	LIMK2	1
1	543	STK32C	3
1	543	GRK2	1
1	543	CKB	1
1	543	TMSB4X	1
1	543	SERTAD2	1
1	543	RBM24	1
1	543	SLC7A1	1
1	543	DPP4	1
1	543	PDLIM5	1
1	543	POR	1
1	543	ULK1	1
1	543	KAT6A	1
1	543	TP53INP2	1
1	543	RPN2	1
1	543	TMEM169	1
1	543	GRIA4	3
1	543	HES6	1
1	543	ANXA5	1
1	543	XRCC5	1
1	543	ASXL3	3
1	543	ASAP1	1
1	543	ITPRIPL2	1
1	543	ENO3	1
1	543	MFSD14A	1
1	543	ADGRE5	1
1	543	SEPTIN4	1
1	543	FLRT2	3
1	543	USP14	1
1	543	C12orf45	3
1	543	ACTR1A	1
1	543	HYOU1	1
1	543	NCOA4	1
1	543	KIFAP3	3
1	543	BTG2	1
1	543	OPRD1	1
1	543	RAB31	1
1	543	OSBPL8	3
1	543	TOB1	1
1	543	H2BC21	1
1	543	KIF1C	1
1	543	ATP2A2	3
1	543	KIAA1958	3
